192.168.0.222|A2600-01|2|TIA-2600|
192.168.0.222|A2600-02|2|TIA-2600|
192.168.0.222|A2600-03|2|TIA-2600|
192.168.0.222|A2600-04|2|TIA-2600|
192.168.0.222|A2600-06|2|TIA-2600|
192.168.0.222|A2600-07|2|TIA-2600|
192.168.0.222|A2600-08|2|TIA-2600|
192.168.0.222|A2600-09|2|TIA-2600|
192.168.0.222|A2600-10|2|TIA-2600|
192.168.0.222|A2600-11|2|TIA-2600|
192.168.0.222|A2600-12|2|TIA-2600|
192.168.0.222|A2600-13|2|TIA-2600|
192.168.0.222|A2600-14|2|TIA-2600|
192.168.0.222|A2600-15|2|TIA-2600|
192.168.0.222|A2600-16|2|TIA-2600|
192.168.0.222|A2600-17|2|TIA-2600|
192.168.0.222|A2600-18|2|TIA-2600|
192.168.0.222|A2600-19|1|TSW-100T|
192.168.0.222|A2600-20|2|TIA-2600|
192.168.0.222|A2600-21|2|TIA-2600|
192.168.0.222|A2600-22|2|TIA-2600|
192.168.0.222|A2600-23|2|TIA-2600|
192.168.0.222|A2600-24|2|TIA-2600|
192.168.0.222|A2600-25|2|TIA-2600|
192.168.0.222|A2600-26|2|TIA-2600|
192.168.0.222|A2600-27|2|TIA-2600|
192.168.0.222|A2600-28|2|TIA-2600|
192.168.0.222|A2600-30|2|TIA-2600|
192.168.0.222|A2600-31|2|TIA-2600|
192.168.0.222|A2600-32|2|TIA-2600|
192.168.0.222|A2600-33|2|TIA-2600|
192.168.0.222|A2600-35|2|TIA-2600|
192.168.0.222|A2600-36|1|TSW-100T|
192.168.0.222|A2600-41|2|TIA-2600|
192.168.0.222|A2600-43|2|TIA-2600|
192.168.0.222|A2600-45|2|TIA-2600|
192.168.0.222|A2600-46|2|TIA-2600|
192.168.0.222|A2600-50|2|TIA-2600|
192.168.0.222|A2600-51|2|TIA-2600|
192.168.0.222|A2600-52|2|TIA-2600|
192.168.0.222|A2600-53|2|TIA-2600|
192.168.0.222|A2600-54|2|TIA-2600|
192.168.0.222|A2600-55|2|TIA-2600|
192.168.0.222|A2600-56|2|TIA-2600|
192.168.0.222|A3050-34|2|FTO-3050|
192.168.0.222|A3050-37|2|FTO-3050|
192.168.0.222|A3050-38|2|FTO-3050|
192.168.0.222|A3050-39|2|FTO-3050|
192.168.0.222|A3050-40|2|FTO-3050|
192.168.0.222|A3050-42|2|FTO-3050|
192.168.0.222|A3050-47|2|FTO-3050|
192.168.0.222|A3050-49|2|FTO-3050|
192.168.0.222|G103|-1|TFPG105|
192.168.0.222|GT-24|3|GT-1318P|
192.168.0.222|GT-25|3|GT-480P|
192.168.0.222|GT-26|3|GT-1318P|
192.168.0.222|GT-27|3|GT-480P|
192.168.0.222|GT-30|3|GT-1318P|
192.168.0.222|GT-31|3|GT-480P|
192.168.0.222|GT-32|3|GT-480P|
192.168.0.222|RS236-01|-1|236RDF2B|
192.168.0.222|RS236-02|-1|236RDF2K|
192.168.0.222|RS236-03|-1|236RDF2C|
192.168.0.222|RS236-04|-1|236RDF2D|
192.168.0.222|RS236-05|-1|236RDF2P|
192.168.0.222|RS236-06|-1|236RDF2G|
192.168.0.222|RS236-07|-1|236RDF2L|
192.168.0.222|RS236-08|-1|236RDF2F|
192.168.0.222|RS236-09|-1|236RDF2H|
192.168.0.222|RS236-10|-1|236RDF2E|
192.168.0.222|RS236-11|-1|236RDF2M|
192.168.0.222|RS236-12|-1|新機台測試|
192.168.0.222|S060-01|-1|ATS-060|
192.168.0.222|S060-03|-1|ATS-060|
192.168.0.222|S060-05|-1|ATS-060|
192.168.0.222|S060-05|-1|ATS-060|
192.168.0.222|S060-05|-1|ATS-060|
192.168.0.222|S060-06|-1|ATS-060|
192.168.0.222|S060-07|-1|ATS-060|
192.168.0.222|S060-08|-1|ATS-060|
192.168.0.222|S060-09|-1|ATS-060|
192.168.0.222|S060-10|-1|ATS-060|
192.168.0.222|S124-11|-1|ATS-124|
192.168.0.222|S124-12|-1|ATS-124|
192.168.0.222|S124-13|-1|ATS-124|
192.168.0.222|S124-14|-1|ATS-124|
192.168.0.222|S124-15|-1|ATS-124|
192.168.0.222|S124-16|-1|ATS-124|
192.168.0.222|S160-16|-1|ATS-160|
192.168.0.222|S160-17|-1|ATS-160|
192.168.0.222|S160-18|-1|ATS-160|
192.168.0.222|S160-19|-1|ATS-160|
192.168.0.222|S160-21|-1|ATS-160|
192.168.0.222|S160-22|-1|ATS-160|
192.168.0.222|S160-23|-1|ATS-160|
192.168.0.222|SC-01|-1|SC-048|
192.168.0.222|SC-02|-1|SC-812|
192.168.0.222|SC-03|-1|SC-168|
192.168.0.222|SC-04|-1|236RDF2A|
192.168.0.222|SC-05|-1|236RDF2N|
192.168.0.222|TH3000-63|-1|THSN-3000|
192.168.0.222|V171-28|-1|1710|
192.168.0.222|V171-29|-1|1710|
192.168.0.222|W100-02|1|TSW-100T|
192.168.0.222|W100-03|1|TSW-100T|
192.168.0.222|W100-04|1|TSW-100T|
192.168.0.222|W100-05|1|TSW-100T|
192.168.0.222|W100-06|1|TSW-100T|
192.168.0.222|W100-07|1|TSW-100T|
192.168.0.222|W100-08|1|TSW-100T|
192.168.0.222|W100-09|1|TSW-100T|
192.168.0.222|W100-10|1|TSW-100T|
192.168.0.222|W100-11|1|TSW-100T|
192.168.0.222|W100-12|1|TSW-100T|
192.168.0.222|W100-13|1|TSW-100T|
192.168.0.222|W100-14|1|TSW-100T|
192.168.0.222|W100-15|1|TSW-100T|
192.168.0.222|W100-16|1|TSW-100T|
192.168.0.222|W100-17|1|TSW-100T|
192.168.0.222|W100-18|1|TSW-100T|
192.168.0.222|W100-19|2|TIA-2600|
192.168.0.222|W100-20|1|TSW-100T|
192.168.0.222|W100-21|1|TSW-100T|
192.168.0.222|W100-22|1|TSW-100T|
192.168.0.222|W100-23|1|TSW-100T|
192.168.0.222|W100-24|1|TSW-100T|
192.168.0.222|W100-25|1|TSW-100T|
192.168.0.222|W100-26|1|TSW-100T|
192.168.0.222|W100-27|1|TSW-100T|
192.168.0.222|W100-29|1|TSW-100T|
192.168.0.222|W100-30|1|TSW-168T|
192.168.0.222|W100-31|1|TSW-100T|
192.168.0.222|W100-32|1|TSW-100T|
192.168.0.222|W100-35|1|TSW-100T|
192.168.0.222|W100-36|2|TIA-2600|
192.168.0.222|W100-41|1|TSW-100T|
192.168.0.222|W100-43|1|TSW-100T|
192.168.0.222|W100-44|1|TSW-100T|
192.168.0.222|W100-48|1|TSW-100T|
192.168.0.222|W100-49|1|TSW-100T|
192.168.0.222|W100-53|1|TSW-100T|
192.168.0.222|W100-54|1|TSW-100T|
192.168.0.222|W100-55|1|TSW-100T|
192.168.0.222|W100-56|1|TSW-100T|
192.168.0.222|W100-57|1|TSW-100T|
192.168.0.222|W100-58|1|TSW-100T|
192.168.0.222|W168-33|1|TSW-168T|
192.168.0.222|W168-34|1|TSW-168T|
192.168.0.222|W168-37|1|TSW-100T|
192.168.0.222|W168-38|1|TSW-168T|
192.168.0.222|W168-42|1|TSW-168T|
192.168.0.222|W168-45|1|TSW-168T|
192.168.0.222|W168-63|1|TSW-168T|
192.168.0.222|W250-39|-1|HSW-250J|
192.168.0.222|W250-40|-1|HSW-250J|
192.168.0.222|W3000-46|1|SPH-3000|
192.168.0.222|W3000-47|1|SPH-3000|
192.168.0.222|W3000-51|1|SPH-3000|
192.168.0.222|W3000-52|1|SPH-3000|
192.168.0.222|W303-59|1|TSW-303|
192.168.0.222|W303-60|1|TSW-303|
192.168.0.222|W303-61|1|TSW-303|
192.168.0.222|W303-62|1|TSW-303|
